time_from,time_to,region_from,region_to,Ndev_true
0,10,1,1,18
0,10,2,2,17
0,10,3,3,20
0,10,4,4,18
0,10,5,5,12
0,10,6,4,1
0,10,6,6,21
0,10,7,5,1
0,10,7,7,30
0,10,8,8,10
0,10,9,6,1
0,10,9,9,29
0,10,10,10,11
10,20,1,1,18
10,20,2,2,17
10,20,3,3,20
10,20,4,4,18
10,20,4,5,1
10,20,5,5,13
10,20,6,6,21
10,20,6,7,1
10,20,7,7,30
10,20,8,8,10
10,20,9,9,29
10,20,10,10,11
20,30,1,1,18
20,30,2,2,17
20,30,3,3,20
20,30,4,1,1
20,30,4,4,17
20,30,5,5,14
20,30,6,6,21
20,30,7,5,2
20,30,7,7,29
20,30,8,8,9
20,30,8,9,1
20,30,9,9,29
20,30,10,10,11
30,40,1,1,19
30,40,2,2,17
30,40,3,3,20
30,40,4,4,17
30,40,5,5,16
30,40,6,6,21
30,40,7,7,29
30,40,8,8,9
30,40,9,6,1
30,40,9,9,28
30,40,9,10,1
30,40,10,10,11
40,50,1,1,19
40,50,2,2,17
40,50,3,3,20
40,50,4,4,17
40,50,5,5,16
40,50,6,4,1
40,50,6,6,21
40,50,7,7,29
40,50,8,8,9
40,50,9,7,1
40,50,9,9,27
40,50,10,10,12
50,60,1,1,19
50,60,2,2,17
50,60,3,3,20
50,60,4,4,18
50,60,5,5,16
50,60,6,4,1
50,60,6,6,19
50,60,6,7,1
50,60,7,7,30
50,60,8,8,9
50,60,9,7,2
50,60,9,9,25
50,60,10,10,12
60,70,1,1,18
60,70,1,2,1
60,70,2,2,17
60,70,3,3,20
60,70,4,4,19
60,70,5,5,16
60,70,6,6,19
60,70,7,7,33
60,70,8,8,9
60,70,9,9,25
60,70,10,10,12
70,80,1,1,18
70,80,2,2,18
70,80,3,3,20
70,80,4,4,19
70,80,5,5,16
70,80,6,6,19
70,80,7,7,33
70,80,8,8,9
70,80,9,9,25
70,80,10,10,12
80,90,1,1,17
80,90,1,2,1
80,90,2,2,17
80,90,2,3,1
80,90,3,3,20
