time,region,Ndev_true
0,1,21
0,2,17
0,3,21
0,4,12
0,5,34
0,6,28
0,7,21
0,8,12
0,9,32
0,10,16
10,1,21
10,2,17
10,3,21
10,4,11
10,5,35
10,6,28
10,7,21
10,8,12
10,9,30
10,10,18
20,1,21
20,2,18
20,3,21
20,4,10
20,5,36
20,6,30
20,7,20
20,8,12
20,9,28
20,10,18
30,1,21
30,2,18
30,3,22
30,4,11
30,5,35
30,6,29
30,7,22
30,8,11
30,9,27
30,10,18
40,1,21
40,2,18
40,3,22
40,4,11
40,5,35
40,6,28
40,7,23
40,8,11
40,9,27
40,10,18
50,1,21
50,2,18
50,3,22
50,4,11
50,5,36
50,6,27
50,7,23
50,8,11
50,9,27
50,10,18
60,1,21
60,2,17
60,3,24
60,4,10
60,5,37
60,6,27
60,7,23
60,8,9
60,9,29
60,10,17
70,1,21
70,2,17
70,3,24
70,4,10
70,5,37
70,6,27
70,7,23
70,8,9
70,9,29
70,10,17
80,1,20
80,2,17
80,3,24
80,4,10
80,5,39
80,6,27
80,7,22
80,8,9
80,9,29
80,10,17
90,1,20
90,2,16
90,3,25
90,4,10
90,5,39
90,6,27
90,7,22
90,8,9
90,9,28
90,10,18
100,1,20
100,2,16
100,3,26
100,4,10
100,5,38
100,6,27
100,7,23
100,8,9
100,9,27
100,10,18
110,1,21
110,2,17
110,3,27
110,4,9
110,5,35
110,6,25
110,7,26
110,8,9
110,9,26
110,10,19
120,1,21
120,2,15
120,3,29
120,4,10
120,5,35
120,6,24
120,7,26
120,8,8
120,9,27
120,10,19
130,1,19
130,2,17
130,3,30
130,4,12
130,5,35
130,6,22
130,7,25
130,8,8
130,9,27
130,10,19
140,1,20
140,2,15
140,3,31
140,4,12
140,5,36
140,6,22
140,7,24
140,8,7
140,9,28
140,10,19
150,1,20
150,2,15
150,3,32
150,4,12
150,5,35
150,6,22
150,7,24
150,8,7
150,9,28
150,10,19
160,1,19
160,2,16
160,3,32
160,4,12
160,5,35
160,6,24
160,7,24
160,8,7
160,9,26
160,10,19
170,1,19
170,2,18
170,3,31
170,4,11
170,5,37
170,6,24
170,7,24
170,8,7
170,9,26
170,10,17
180,1,19
180,2,18
180,3,31
180,4,10
180,5,38
180,6,27
180,7,24
180,8,7
180,9,23
180,10,17
190,1,21
190,2,19
190,3,31
190,4,9
190,5,37
190,6,22
190,7,28
190,8,6
190,9,24
190,10,17
200,1,21
200,2,19
200,3,33
200,4,9
200,5,35
200,6,21
200,7,30
200,8,6
200,9,24
200,10,16
210,1,21
210,2,19
210,3,32
210,4,9
210,5,36
210,6,21
210,7,30
210,8,6
210,9,24
210,10,16
220,1,21
220,2,19
220,3,32
220,4,9
220,5,38
220,6,21
220,7,28
220,8,6
220,9,24
220,10,16
230,1,20
230,2,20
230,3,32
230,4,9
230,5,41
230,6,21
230,7,25
230,8,6
230,9,24
230,10,16
240,1,19
240,2,21
240,3,32
240,4,9
240,5,41
240,6,21
240,7,25
240,8,6
240,9,24
240,10,16
250,1,18
250,2,22
250,3,32
250,4,9
250,5,42
250,6,21
250,7,23
250,8,6
250,9,24
250,10,17
260,1,18
260,2,22
260,3,33
260,4,11
260,5,42
260,6,19
260,7,22
260,8,6
260,9,24
260,10,17
270,1,18
270,2,22
270,3,33
270,4,11
270,5,43
270,6,19
270,7,21
270,8,6
270,9,24
270,10,17
280,1,18
280,2,22
280,3,33
280,4,11
280,5,43
280,6,19
280,7,22
280,8,6
280,9,23
280,10,17
290,1,18
290,2,22
290,3,33
290,4,14
290,5,42
290,6,14
290,7,25
290,8,6
290,9,23
290,10,17
300,1,17
300,2,24
300,3,33
300,4,14
300,5,41
300,6,15
300,7,25
300,8,6
300,9,22
300,10,17
310,1,17
310,2,25
310,3,32
310,4,14
310,5,43
310,6,16
310,7,23
310,8,6
310,9,20
310,10,18
320,1,17
320,2,25
320,3,33
320,4,14
320,5,41
320,6,15
320,7,25
320,8,6
320,9,20
320,10,18
330,1,17
330,2,25
330,3,34
330,4,14
330,5,40
330,6,14
330,7,26
330,8,6
330,9,20
330,10,18
340,1,17
340,2,25
340,3,34
340,4,14
340,5,41
340,6,12
340,7,27
340,8,6
340,9,20
340,10,18
350,1,17
350,2,25
350,3,34
350,4,14
350,5,41
350,6,12
350,7,27
350,8,4
350,9,22
350,10,18
360,1,17
360,2,25
360,3,35
360,4,14
360,5,40
360,6,12
360,7,27
360,8,4
360,9,22
360,10,18
370,1,17
370,2,24
370,3,36
370,4,14
370,5,40
370,6,12
370,7,27
370,8,4
370,9,22
370,10,18
380,1,18
380,2,24
380,3,36
380,4,13
380,5,40
380,6,14
380,7,27
380,8,4
380,9,19
380,10,19
390,1,18
390,2,24
390,3,36
390,4,13
390,5,39
390,6,14
390,7,28
390,8,4
390,9,19
390,10,19
400,1,18
400,2,23
400,3,37
400,4,13
400,5,40
400,6,14
400,7,30
400,8,4
400,9,16
400,10,19
410,1,17
410,2,23
410,3,38
410,4,13
410,5,41
410,6,14
410,7,29
410,8,4
410,9,16
410,10,19
420,1,17
420,2,23
420,3,38
420,4,13
420,5,41
420,6,14
420,7,29
420,8,4
420,9,16
420,10,19
430,1,17
430,2,23
430,3,40
430,4,13
430,5,43
430,6,14
430,7,25
430,8,4
430,9,16
430,10,19
440,1,17
440,2,23
440,3,41
440,4,13
440,5,42
440,6,14
440,7,25
440,8,4
440,9,16
440,10,19
450,1,17
450,2,24
450,3,41
450,4,13
450,5,41
450,6,14
450,7,24
450,8,4
450,9,16
450,10,20
460,1,17
460,2,24
460,3,41
460,4,13
460,5,42
460,6,14
460,7,23
460,8,4
460,9,16
460,10,20
470,1,19
470,2,22
470,3,41
470,4,13
470,5,42
470,6,14
470,7,23
470,8,4
470,9,16
470,10,20
480,1,17
480,2,25
480,3,40
480,4,13
480,5,40
480,6,16
480,7,25
480,8,4
480,9,14
480,10,20
490,1,18
490,2,24
490,3,40
490,4,14
490,5,40
490,6,16
490,7,25
490,8,4
490,9,13
490,10,20
500,1,18
500,2,24
500,3,43
500,4,14
500,5,37
500,6,16
500,7,25
500,8,4
500,9,13
500,10,20
510,1,17
510,2,24
510,3,43
510,4,15
510,5,38
510,6,16
510,7,22
510,8,4
510,9,13
510,10,22
520,1,17
520,2,24
520,3,43
520,4,15
520,5,38
520,6,16
520,7,22
520,8,4
520,9,13
520,10,22
530,1,19
530,2,24
530,3,43
530,4,13
530,5,38
530,6,16
530,7,22
530,8,4
530,9,13
530,10,22
540,1,18
540,2,24
