time_from,time_to,region_from,region_to,Nnet_true
0,10,1,1,15
0,10,2,2,14
0,10,3,3,15
0,10,4,4,15
0,10,5,5,12
0,10,6,4,1
0,10,6,6,19
0,10,7,5,1
0,10,7,7,24
0,10,8,8,8
0,10,9,6,1
0,10,9,9,28
0,10,10,10,10
10,20,1,1,15
10,20,2,2,14
10,20,3,3,15
10,20,4,4,15
10,20,4,5,1
10,20,5,5,13
10,20,6,6,19
10,20,6,7,1
10,20,7,7,24
10,20,8,8,8
10,20,9,9,28
10,20,10,10,10
20,30,1,1,15
20,30,2,2,14
20,30,3,3,15
20,30,4,1,1
20,30,4,4,14
20,30,5,5,14
20,30,6,6,19
20,30,7,5,1
20,30,7,7,24
20,30,8,8,7
20,30,8,9,1
20,30,9,9,28
20,30,10,10,10
30,40,1,1,16
30,40,2,2,14
30,40,3,3,15
30,40,4,4,14
30,40,5,5,15
30,40,6,6,19
30,40,7,7,24
30,40,8,8,7
30,40,9,6,1
30,40,9,9,27
30,40,9,10,1
30,40,10,10,10
40,50,1,1,16
40,50,2,2,14
40,50,3,3,15
40,50,4,4,14
40,50,5,5,15
40,50,6,4,1
40,50,6,6,19
40,50,7,7,24
40,50,8,8,7
40,50,9,7,1
40,50,9,9,26
40,50,10,10,11
50,60,1,1,16
50,60,2,2,14
50,60,3,3,15
50,60,4,4,15
50,60,5,5,15
50,60,6,4,1
50,60,6,6,17
50,60,6,7,1
50,60,7,7,25
50,60,8,8,7
50,60,9,7,2
50,60,9,9,24
50,60,10,10,11
60,70,1,1,15
60,70,1,2,1
60,70,2,2,14
60,70,3,3,15
60,70,4,4,16
60,70,5,5,15
60,70,6,6,17
60,70,7,7,28
60,70,8,8,7
60,70,9,9,24
60,70,10,10,11
70,80,1,1,15
70,80,2,2,15
70,80,3,3,15
70,80,4,4,16
70,80,5,5,15
70,80,6,6,17
70,80,7,7,28
70,80,8,8,7
70,80,9,9,24
70,80,10,10,11
80,90,1,1,14
80,90,1,2,1
80,90,2,2,14
80,90,2,3,1
80,90,3,3,15
80,90,4,4,16
80,90,5,5,15
80,90,6,6,17
80,90,7,7,28
80,90,8,8,7
80,90,9,9,24
80,90,10,10,11
90,100,1,1,13
90,100,1,2,1
90,100,2,2,15
90,100,3,3,16
90,100,4,4,16
90,100,5,5,15
90,100,6,6,17
90,100,7,5,2
90,100,7,7,26
90,100,8,8,7
90,100,9,9,24
90,100,10,10,11
100,110,1,1,13
100,110,2,2,16
100,110,3,3,16
100,110,4,2,1
100,110,4,4,14
100,110,4,5,1
100,110,5,5,17
100,110,6,6,17
100,110,7,7,26
100,110,8,8,7
100,110,9,6,2
100,110,9,9,22
100,110,10,10,11
110,120,1,1,13
110,120,2,2,17
110,120,3,3,16
110,120,4,4,14
110,120,5,5,18
110,120,6,4,1
110,120,6,6,18
110,120,7,5,1
110,120,7,7,25
110,120,8,8,7
110,120,9,6,1
110,120,9,9,21
110,120,10,10,11
120,130,1,1,13
120,130,2,1,1
120,130,2,2,16
120,130,3,3,16
120,130,4,1,1
120,130,4,4,14
120,130,5,3,3
120,130,5,5,16
120,130,6,6,19
120,130,7,7,24
120,130,7,10,1
120,130,8,8,7
120,130,9,9,21
120,130,10,10,11
130,140,1,1,14
130,140,1,2,1
130,140,2,2,16
130,140,3,3,19
130,140,4,4,14
130,140,5,3,1
130,140,5,5,15
130,140,6,6,19
130,140,7,7,24
130,140,8,8,7
130,140,9,9,21
130,140,10,10,12
140,150,1,1,13
140,150,1,2,1
140,150,2,1,1
140,150,2,2,16
140,150,3,3,20
140,150,4,2,1
140,150,4,4,13
140,150,5,3,1
140,150,5,5,14
140,150,6,6,19
140,150,7,7,24
140,150,8,8,7
140,150,9,9,21
140,150,10,10,12
150,160,1,1,14
150,160,2,1,1
150,160,2,2,17
150,160,3,3,21
150,160,4,4,13
150,160,5,5,14
150,160,6,6,19
150,160,7,7,24
150,160,8,8,7
150,160,9,6,1
150,160,9,9,20
150,160,10,10,12
160,170,1,1,15
160,170,2,2,17
160,170,3,3,21
160,170,4,4,13
160,170,5,2,1
160,170,5,5,13
160,170,6,6,19
160,170,6,7,1
160,170,7,7,24
160,170,8,8,6
160,170,8,9,1
160,170,9,9,20
160,170,10,10,12
170,180,1,1,15
170,180,2,2,18
170,180,3,3,21
170,180,4,1,1
170,180,4,4,12
170,180,5,5,13
170,180,6,6,19
170,180,7,7,25
170,180,8,8,6
170,180,9,9,21
170,180,10,10,12
180,190,1,1,16
180,190,2,2,18
180,190,3,2,1
180,190,3,3,20
180,190,4,4,10
180,190,4,5,2
180,190,5,5,13
180,190,6,6,19
180,190,7,7,25
180,190,8,8,6
180,190,9,9,21
180,190,10,10,12
190,200,1,1,16
190,200,2,2,19
190,200,3,3,20
190,200,4,4,10
190,200,5,5,15
190,200,6,6,18
190,200,6,7,1
190,200,7,7,25
190,200,8,8,6
190,200,9,7,2
190,200,9,9,19
190,200,10,10,12
200,210,1,1,16
200,210,2,2,19
200,210,3,3,20
200,210,4,4,10
200,210,5,3,1
200,210,5,5,14
200,210,6,6,17
200,210,6,7,1
200,210,7,7,28
200,210,8,8,6
200,210,9,9,19
200,210,10,10,12
210,220,1,1,16
210,220,2,2,18
210,220,2,3,1
210,220,3,3,21
210,220,4,2,1
210,220,4,4,9
210,220,5,5,14
210,220,6,6,17
210,220,7,7,29
210,220,8,8,6
210,220,9,9,19
210,220,10,10,12
220,230,1,1,16
220,230,2,1,1
220,230,2,2,18
220,230,3,3,22
220,230,4,4,9
220,230,5,3,1
220,230,5,5,13
220,230,6,6,17
220,230,7,5,2
220,230,7,7,27
220,230,8,8,6
220,230,9,9,19
220,230,10,10,12
230,240,1,1,16
230,240,1,2,1
230,240,2,2,16
230,240,2,3,2
230,240,3,3,23
230,240,4,4,9
230,240,5,5,15
230,240,6,6,17
230,240,7,7,27
230,240,8,8,6
230,240,9,9,19
230,240,10,10,12
240,250,1,1,16
240,250,2,1,1
240,250,2,2,15
240,250,2,3,1
240,250,3,3,25
240,250,4,4,9
240,250,5,5,15
240,250,6,6,17
240,250,7,5,1
240,250,7,7,26
240,250,8,8,6
240,250,9,9,19
