time,region,Nnet_true
0,1,20
0,2,16
0,3,17
0,4,11
0,5,30
0,6,22
0,7,21
0,8,10
0,9,27
0,10,13
10,1,20
10,2,16
10,3,17
10,4,10
10,5,31
10,6,22
10,7,21
10,8,10
10,9,26
10,10,14
20,1,20
20,2,17
20,3,17
20,4,9
20,5,32
20,6,24
20,7,20
20,8,10
20,9,24
20,10,14
30,1,20
30,2,17
30,3,18
30,4,10
30,5,31
30,6,24
30,7,21
30,8,9
30,9,23
30,10,14
40,1,20
40,2,17
40,3,18
40,4,10
40,5,31
40,6,23
40,7,22
40,8,9
40,9,23
40,10,14
50,1,20
50,2,17
50,3,18
50,4,10
50,5,32
50,6,22
50,7,22
50,8,9
50,9,23
50,10,14
60,1,20
60,2,16
60,3,20
60,4,9
60,5,33
60,6,22
60,7,22
60,8,8
60,9,24
60,10,13
70,1,20
70,2,16
70,3,20
70,4,9
70,5,33
70,6,22
70,7,22
70,8,8
70,9,24
70,10,13
80,1,19
80,2,16
80,3,20
80,4,9
80,5,35
80,6,22
80,7,21
80,8,8
80,9,24
80,10,13
90,1,19
90,2,15
90,3,21
90,4,9
90,5,35
90,6,22
90,7,21
90,8,8
90,9,23
90,10,14
100,1,19
100,2,15
100,3,22
100,4,9
100,5,34
100,6,22
100,7,22
100,8,8
100,9,22
100,10,14
110,1,20
110,2,16
110,3,23
110,4,8
110,5,31
110,6,20
110,7,25
110,8,8
110,9,21
110,10,15
120,1,20
120,2,14
120,3,25
120,4,9
120,5,31
120,6,19
120,7,25
120,8,7
120,9,22
120,10,15
130,1,19
130,2,15
130,3,26
130,4,11
130,5,31
130,6,17
130,7,24
130,8,7
130,9,22
130,10,15
140,1,20
140,2,13
140,3,27
140,4,11
140,5,32
140,6,17
140,7,23
140,8,6
140,9,23
140,10,15
150,1,20
150,2,13
150,3,28
150,4,11
150,5,31
150,6,17
150,7,23
150,8,6
150,9,23
150,10,15
160,1,19
160,2,14
160,3,28
160,4,11
160,5,31
160,6,18
160,7,23
160,8,6
160,9,22
160,10,15
170,1,19
170,2,16
170,3,27
170,4,10
170,5,33
170,6,18
170,7,22
170,8,6
170,9,22
170,10,14
180,1,19
180,2,16
180,3,27
180,4,9
180,5,34
180,6,20
180,7,22
180,8,6
180,9,20
180,10,14
190,1,21
190,2,16
190,3,27
190,4,9
190,5,33
190,6,16
190,7,25
190,8,5
190,9,21
190,10,14
200,1,21
200,2,16
200,3,28
200,4,9
200,5,32
200,6,15
200,7,27
200,8,5
200,9,21
200,10,13
210,1,21
210,2,16
210,3,27
