time,region,Ntarget_true
0,1,40
0,2,42
0,3,60
0,4,40
0,5,54
0,6,56
0,7,78
0,8,14
0,9,73
0,10,43
10,1,40
10,2,40
10,3,62
10,4,44
10,5,55
10,6,53
10,7,80
10,8,13
10,9,72
10,10,41
20,1,39
20,2,41
20,3,64
20,4,44
20,5,55
20,6,51
20,7,82
20,8,13
20,9,69
20,10,42
30,1,40
30,2,41
30,3,66
30,4,43
30,5,55
30,6,50
30,7,82
30,8,11
30,9,71
30,10,41
40,1,40
40,2,41
40,3,66
40,4,46
40,5,56
40,6,48
40,7,83
40,8,10
40,9,69
40,10,41
50,1,40
50,2,41
50,3,66
50,4,47
50,5,57
50,6,48
50,7,86
50,8,9
50,9,64
50,10,42
60,1,41
60,2,43
60,3,66
60,4,46
60,5,58
60,6,47
60,7,90
60,8,9
60,9,61
60,10,39
70,1,40
70,2,44
70,3,66
70,4,48
70,5,58
70,6,45
70,7,92
70,8,9
70,9,59
70,10,39
80,1,39
80,2,45
80,3,67
80,4,48
80,5,59
80,6,45
80,7,91
80,8,9
80,9,58
80,10,39
90,1,37
90,2,47
90,3,69
90,4,46
90,5,60
90,6,45
90,7,91
90,8,9
90,9,57
90,10,39
100,1,36
100,2,48
100,3,70
100,4,46
100,5,61
100,6,45
100,7,90
100,8,9
100,9,56
100,10,39
110,1,36
110,2,49
110,3,70
110,4,44
110,5,62
110,6,47
110,7,89
110,8,9
110,9,54
110,10,40
120,1,36
120,2,48
120,3,71
120,4,45
120,5,65
120,6,47
120,7,87
120,8,9
120,9,52
120,10,40
130,1,38
130,2,47
130,3,75
130,4,44
130,5,61
130,6,47
130,7,86
130,8,9
130,9,52
130,10,41
140,1,36
140,2,49
140,3,76
140,4,44
140,5,62
140,6,48
140,7,83
140,8,9
140,9,51
140,10,42
150,1,36
150,2,51
150,3,78
150,4,43
150,5,61
150,6,47
150,7,83
150,8,9
150,9,50
150,10,42
160,1,37
160,2,47
160,3,80
160,4,43
160,5,64
160,6,48
160,7,83
160,8,9
160,9,49
160,10,40
170,1,39
170,2,46
170,3,84
170,4,40
170,5,62
170,6,46
170,7,85
170,8,8
170,9,50
170,10,40
180,1,40
180,2,45
180,3,85
180,4,39
180,5,64
180,6,46
180,7,84
180,8,8
180,9,49
180,10,40
190,1,42
190,2,46
190,3,84
190,4,35
190,5,66
190,6,47
190,7,87
190,8,8
190,9,45
190,10,40
200,1,42
200,2,48
200,3,83
200,4,35
200,5,64
200,6,45
200,7,93
200,8,8
200,9,43
200,10,39
210,1,42
210,2,47
210,3,87
210,4,36
210,5,60
210,6,43
210,7,96
210,8,8
210,9,43
210,10,38
220,1,42
220,2,49
220,3,87
220,4,34
220,5,59
220,6,44
220,7,98
220,8,8
220,9,41
220,10,38
230,1,43
230,2,47
230,3,90
230,4,33
230,5,61
230,6,43
230,7,96
230,8,8
230,9,40
230,10,39
240,1,42
240,2,46
240,3,92
240,4,32
240,5,62
240,6,43
240,7,96
240,8,8
240,9,40
240,10,39
250,1,44
250,2,43
250,3,94
250,4,31
250,5,63
250,6,43
250,7,97
250,8,8
250,9,40
250,10,37
260,1,43
260,2,44
260,3,94
260,4,32
260,5,65
260,6,42
260,7,97
260,8,8
260,9,39
260,10,36
270,1,43
270,2,44
270,3,96
270,4,32
