time,device,eventCode,antennaID,obsVar,personID,x,y,tile
0,100,0,23,23-0,98,1958.557868,3241.744394,487
0,104,0,11,11-0,103,401.583703,3963.469715,601
0,105,0,11,11-0,103,401.583703,3963.469715,601
0,108,0,10,10-0,107,497.351449,1837.925951,281
0,110,0,65,65-0,109,9720.103327,5613.038006,918
0,112,0,32,32-0,111,8388.914731,8691.249408,1393
0,115,0,55,55-0,114,9694.657431,3765.927072,638
0,117,0,23,23-0,116,1798.161912,2804.106017,447
0,120,0,25,25-0,119,3554.307577,2646.392374,414
0,122,0,34,34-0,121,7494.919922,8468.488115,1349
0,129,0,48,48-0,128,9994.217646,1141.416858,199
0,131,0,27,27-0,130,4849.465441,6386.202928,1019
0,135,0,51,51-0,134,7781.942304,2898.527811,471
0,139,0,35,35-0,138,1663.754234,2448.296995,366
0,141,0,54,54-0,140,9131.317891,2291.963061,396
0,142,0,54,54-0,140,9131.317891,2291.963061,396
0,146,0,39,39-0,145,9376.987983,6980.511798,1117
0,147,0,39,39-0,145,9376.987983,6980.511798,1117
0,154,0,18,18-0,153,4188.562311,8743.084718,1376
0,157,0,64,64-0,156,4467.789576,4043.809619,657
0,164,0,18,18-0,163,4105.675643,7473.630434,1176
0,168,0,18,18-0,167,4113.874914,8472.963168,1336
0,170,0,08,08-0,169,7793.989845,3746.02999,591
0,179,0,42,42-0,178,6299.619185,2963.31402,465
0,180,0,42,42-0,178,6299.619185,2963.31402,465
0,182,0,10,10-0,181,1130.563207,2444.971613,364
0,185,0,17,17-0,184,1144.315831,8143.481874,1284
0,188,0,26,26-0,187,3317.864542,7081.737721,1133
0,192,0,48,48-0,191,9376.198813,803.576762,157
0,195,0,18,18-0,194,5321.09134,8350.560262,1341
0,200,0,05,05-0,199,7163.126435,5989.78693,948
0,202,0,10,10-0,201,585.401026,1936.843941,282
0,206,0,44,44-0,205,5698.466293,2154.43442,342
0,208,0,63,63-0,207,7324.576398,4026.989505,669
0,209,0,63,63-0,207,7324.576398,4026.989505,669
0,214,0,04,04-0,213,9765.094101,5991.162995,959
0,216,0,64,64-0,215,4909.510988,3689.328304,579
0,224,0,20,20-0,223,1594.522434,7142.923266,1126
0,226,0,17,17-0,225,1000.849074,7876.328576,1244
0,228,0,25,25-0,227,3099.814788,2745.992863,412
0,231,0,15,15-0,230,6356.984533,9429.586505,1505
0,233,0,48,48-0,232,8983.544557,950.571588,155
0,238,0,68,68-0,237,8609.277202,6212.390401,994
0,240,0,32,32-0,239,8759.429731,7884.633423,1275
0,244,0,50,50-0,243,7682.094239,2594.536261,430
0,247,0,32,32-0,246,9829.563641,8349.854542,1359
0,249,0,58,58-0,248,5337.148828,4911.506632,781
